Hallo!;Привет!
Entschuldigung!;Извини(те)!
Bitte;пожалуйста (прошу)
Keine Ursache;пожалуйста, не за что
Schade;жаль
Tschüss!;Пока!
Auf Wiedersehen;до свидания
die Leute;люди
der Mensch;человек
der Mann;мужчина, муж
die Frau;женщина, жена
das Kind;ребенок
der Junge;мальчик
das Mädchen;девочка
der Freund;друг
der Gast;гость
die Familie;семья
die Eltern;родители
der Vater;отец
die Mutter;мать
der Sohn;сын
die Tochter;дочь
der Großvater;дед
der Schwiegervater;тесть/свекор.
der Onkel;дядя
die Tante;тетя
der Bruder;брат
die Schwester;сестра
der Cousin (кузэн); двоюродный брат
die Kusine;двоюродная сестра
die Arbeit;работа
der Geschäftsmann;бизнесмен
der Lehrer;учитель
der Fahrer;водитель
der Arbeiter;рабочий
der Ingenieur;инженер
der Arzt;врач
die Krankenschwester;медсестра
der Verkäufer;продавец
der Buchhalter;бухгалтер
der Maler;художник
der Journalist;журналист
der Kellner;официант
der Musiker;музыкант
der Schauspieler;актер
der Schüler;школьник, ученик
der Student;студент
das Land;страна, сельская местность
Russland;Россия
Deutschland;Германия
das Tier;животное
die Katze;кошка
der Hund;собака
der Vogel;птица
die Kuh;корова
das Pferd;лошадь
der Bär;медведь
die Maus;мышь
das Schwein;свинья
die Stadt;город
die Schule;школа
das Theater;театр
die Straße;улица, дорога
der Platz;площадь, место
das Haus;дом
die Kirche;церковь
der Fluss;река
das Cafe;кафе
das Hotel;гостиница
der Garten;сад
der Park;парк
die Bank;банк
die Haltestelle;остановка
das Kino;кинотеатр
die Brücke;мост
die Kreuzung;перекрёсток
der Wald;лес
das Krankenhaus;больница
der Markt;рынок
die Polizei;полиция
die Post;почта
der Bahnhof;станция, вокзал
das Zentrum;центр
das Geschäft;магазин
der Berg;гора
die Wohnung;квартира
die Küche;кухня
der Balkon;балкон
das Badezimmer;ванная
die Dusche;душ
die Toilette;туалет
der Fußboden;пол
die Etage;этаж
der Flur;коридор
das Schlafzimmer;спальня
das Wohnzimmer;зал
die Tür;дверь
das Fenster;окно
der Schlüssel;ключ
das Bett;кровать
die Decke;одеяло, cкатерть, потолок
das Kissen;подушка
der Tisch;стол
der Stuhl;стул
der Sessel;кресло
der Kühlschrank;холодильник
das Sofa;диван
der Spiegel;зеркало
das Essen;еда
das Brot;хлеб
die Butter;масло
der Käse;сыр
die Wurst;колбаса
das Öl;растительное масло, нефть
der Pfeffer;горький перец
das Salz;соль
die Beere;ягода
der Honig;мёд
die Marmelade;варенье
die Pilze;гриб
die Zwiebel;лук (репчатый)
die Banane;банан
die Mohrrübe;морковь
die Birne;груша
die Zuckerrübe;свекла
das Obst;фрукты
die Melone;дыня
die Wassermelone;арбуз
der Kuchen;торт, пирог
die Schokolade;шоколад
das Fleisch;мясо
die Kartoffeln;картофель
der Salat;салат
die Tomate;помидор
die Gurke;огурец
der Kohl; капуста
der Brei;каша
die Suppe;суп
das belegte Brötchen;бутерброд
das Sodawasser;газировка
das Wasser;вода
der Kaffee;кофе
der Tee;чай
die Milch;молоко
