Hallo!;Привет!
GutenTag!;Добрыйдень!
Entschuldigung!;Извини(те)!
Bitte;пожалуйста
Danke;спасибо
Gerngeschehen;незачто
Schade;жаль
Tschüss!;Пока!
AufWiedersehen!;Досвидания!
dieLeute;люди
derMensch;человек
derMann;мужчина,муж
dieFrau;женщина,жена
dasKind;ребенок
derJunge;мальчик
dasMädchen;девочка
derFreund;друг
derBekannte;знакомый
derNachbar;сосед
derGast;гость
derChef;начальник,шеф
derKonkurrent;конкурент
derKunde;клиент,покупатель
derKollege;коллега
dieFamilie;семья
dieEltern;родители
derVater;отец
derVati;папа
dieMutter;мать
dieMutti;мама
derSohn;сын
dieTochter;дочь
derBruder;брат
dieSchwester;сестра
derGroßvater;дед
derOpa;дедушка
dieGroßmutter;бабушка
dieOma;бабуля
derEnkel;внук
dieEnkelin;внучка
derSchwiegervater;тесть,свекор
dieSchwiegermutter;тёща,свекровь
derOnkel;дядя
dieTante;тетя
derCousin[кузэн];двоюродныйбрат
dieKusine;двоюроднаясестра
derNeffe;племянник
dieNichte;племянница
dieArbeit;работа
derGeschäftsmann;бизнесмен
derLehrer;учитель
derFahrer;водитель
derArbeiter;рабочий
derIngenieur;инженер
derArzt;врач
derRechtsanwalt;адвокат
derJournalist;журналист
derKrankenschwester;медсестра
derVerkäufer;продавец
derKellner;официант
derBuchhalter;бухгалтер
derMaler;художник
derMusiker;музыкант
derSchauspieler;актер
derStudent;студент
derSchüler;школьник,ученик
dasTier;животное
dieKatze;кошка
derHund;собака
derVogel;птица
dasEichhörnchen;белка
derWolf;волк
dieGans;гусь
dieGiraffe;жираф
dasKaninchen;кролик
derHase;заяц
dieKuh;корова
dieRatte;крыса
derFuchs;лиса
dasPferd;лошадь
derFrosch;лягушка
derBär;медведь
dieMaus;мышь
derAffe;обезьяна
dasSchwein;свинья
derElefant;слон
dieEnte;утка
dasLand;страна,сельскаяместность,земля
Russland;Россия
Deutschland;Германия
Österreich;Австрия
dieSchweiz;Швейцария
dieStadt;город
dasHaus;дом
dasGebäude;здание
derPlatz;площадь,место
derEingang;вход
derAusgang;выход
dasZentrum;центр
derHof;двор
dasDach;крыша
derZaun;забор
dasDorf;деревня,поселок
dieSchule;школа
